見出し語,尊敬語,謙譲語,丁寧語
会い,お会いになる,お目にかかる,会います

与え,お与えになる,さしあげる,あげる
さしあげる,お与えになる,さしあげる,あげる
差しあげる,お与えになる,さしあげる,あげる
差し上げる,お与えになる,さしあげる,あげる

あり,おありになる,,ございます

言い,おっしゃる,申し上げる,申す
おっしゃる,おっしゃる,申し上げる,申す
申し上げる,おっしゃる,申し上げる,申す

い,いらっしゃる,おる,おる
いらっしゃる,いらっしゃる,おる,おる

受け,お受けになる,拝受する,受けます

おぼしめす,おぼしめす,存じる,思います
思っ,おぼしめす,存じる,思います

書き,お書きになります,お書きします,お書きいたします
入れ,お入れになります,お入れします,お入れいたします
取り,お取りになります,お取りします,お取りいたします
待ち,お待ちになります,お待ちします,お待ちいたします
買い,お求めになる,,求める
借り,お借りになる,拝借する,借ります
聞き,お聞きになる,うかがう,聞きます

着て,召す,,着ます
召す,召す,,着ます

参り,いらっしゃる,参る,参る

くれ,くださる,,くれます
くださる,くださる,,くれます

死ぬ,お亡くなりになる,,亡くなる
なくなる,お亡くなりになる,,亡くなる
亡くなる,お亡くなりになる,,亡くなる

知らせる,お知らせになる,お耳に入れる,知らせます
知らせた,お知らせになる,お耳に入れる,知らせます
知り,ご存じだ,存じる,知ります

し,なさる,いたす,いたす
なさる,なさる,いたす,いたす
いたす,なさる,いたす,いたす

訪ね,お訪ねになる,うかがう,訪ねます

尋ね,お尋ねになる,うかがう,尋ねます

食べ,召し上がる,いただく,いただく
たべ,召し上がる,いただく,いただく

寝,おやすみになる,,やすむ

飲み,召し上がる,いただく,いただく

見せ,お見せになる,お目にかける,見せます
みせ,お見せになる,お目にかける,見せます

見,ご覧になる,拝見する,見ます
み,ご覧になる,拝見する,見ます

命じ,おおせつける,,命じます
めいじ,おおせつける,,命じます

もらい,おもらいになる,いただく,もらいます

行き,いらっしゃる,うかがう,まいる
読み,お読みになる,拝読する,読みます
