見出し語,尊敬語,謙譲語,丁寧語
会い,お会いになる,お目にかかる,会います
会い,会われる,お会いする,

会う,お会いになる,お目にかかる,会います
会う,会われる,お会いする,

与える,お与えになる,さしあげる,あげる
与える,,献上する,
与える,,献呈する,
与える,,献じる,
与える,,進呈する,

与え,お与えになる,さしあげる,あげる
与え,,献上する,
与え,,献呈する,
与え,,献じる,
与え,,進呈する,

さしあげる,お与えになる,さしあげる,あげる
さしあげる,,献上する,
さしあげる,,献呈する,
さしあげる,,献じる,
さしあげる,,進呈する,

差しあげる,お与えになる,さしあげる,あげる
差しあげる,,献上する,
差しあげる,,献呈する,
差しあげる,,献じる,
差しあげる,,進呈する,

差し上げる,お与えになる,さしあげる,あげる
差し上げる,,献上する,
差し上げる,,献呈する,
差し上げる,,献じる,
差し上げる,,進呈する,

あり,おありになる,,ございます
あり,,,あります

ある,おありになる,,ございます
ある,,,あります

言い,おっしゃる,申し上げる,申す
言い,言われる,,言います

言う,おっしゃる,申し上げる,申す
言う,言われる,,言います

おっしゃる,おっしゃる,申し上げる,申す
おっしゃる,言われる,,言います

申し上げる,おっしゃる,申し上げる,申す

い,いらっしゃる,おる,おる
い,おいでになる,,います

いる,いらっしゃる,おる,おる
いる,おいでになる,,います

いらっしゃる,いらっしゃる,おる,おる
いらっしゃる,おいでになる,おる,おる

受け,お受けになる,拝受する,受けます
受け,受けられる,お受けする,受けます
受ける,お受けになる,拝受する,受けます
受ける,受けられる,お受けする,受けます


おぼしめす,おぼしめす,存じる,思います
思う,おぼしめす,存じる,思います
思う,思いになる,,
思う,思われる,,

思っ,おぼしめす,存じる,思います
思っ,思いになる,,
思っ,思われる,,

買う,お求めになる,,求める
買う,求められる,,買います
買う,お買いになる,,
買う,買われる,,

買い,お求めになる,,求める
買い,求められる,,買います
買い,お買いになる,,
買い,買われる,,

借り,お借りになる,拝借する,借ります
借り,借りられる,お借りする,

借りる,お借りになる,拝借する,借ります
借りる,借りられる,お借りする,


聞き,お聞きになる,うかがう,聞きます
聞き,,うけたまわる,
聞き,,拝聴する,
聞き,,お聞きする,

聞く,お聞きになる,うかがう,聞きます
聞く,,うけたまわる,
聞く,,拝聴する,
聞く,,お聞きする,

着て,召す,,着ます
着て,召す,,着ます
着て,召す,,着ます

着る,召す,,着ます
着る,お召しになる,,
着る,着られる,,

召す,召す,,着ます

来る,いらっしゃる,参る,着ます
来る,おいでになる,,
来る,見える,,
来る,お見えになる,,
来る,お越しになる,,
来る,来られる,,

くれる,くださる,,くれます
くれる,たまわる,,

くれ,くださる,,くれます
くれ,たまわる,,くれます

くださる,くださる,,くれます

死ぬ,お亡くなりになる,,亡くなる
死ぬ,亡くなられる,,死にます
死ぬ,逝去する,,
死ぬ,おかくれになる,,

なくなる,お亡くなりになる,,亡くなる
亡くなる,お亡くなりになる,,亡くなる

知らせる,お知らせになる,お耳に入れる,知らせます
知らせる,知らせられる,お知らせする,

知る,ご存じだ,存じる,知ります
知る,お知りになる,存じ上げる,
知る,知られる,承知する,

知り,ご存じだ,存じる,知ります
知り,お知りになる,存じ上げる,
知り,知られる,承知する,

する,なさる,いたす,いたす
する,あそばす,,
する,される,,

訪ね,お訪ねになる,うかがう,訪ねます
訪ね,訪ねられる,参上する,
訪ね,,あがる,
訪ね,,お邪魔する,
訪ね,,お訪ねする,

尋ね,お尋ねになる,うかがう,尋ねます
尋ね,尋ねられる,お尋ねする,

食べ,召し上がる,いただく,いただく
食べ,あがる,頂戴する,食べます
食べ,お食べになる,,
食べ,食べられる,,
たべ,召し上がる,いただく,いただく
たべ,あがる,頂戴する,食べます
たべ,お食べになる,,
たべ,食べられる,,

寝る,おやすみになる,,やすむ
寝る,休まれる,,寝ます
寝る,寝られる,,

飲む,召し上がる,いただく,いただく
飲む,あがる,頂戴する,飲みます
飲む,お飲みになる,,
飲む,飲まれる,,

飲み,召し上がる,いただく,いただく
飲み,あがる,頂戴する,飲みます
飲み,お飲みになる,,
飲み,飲まれる,,

見せる,お見せになる,お目にかける,見せます
見せる,見せられる,ご覧に入れる,
見せる,,お見せする,

見せ,お見せになる,お目にかける,見せます
見せ,見せられる,ご覧に入れる,
見せ,,お見せする,

見る,ご覧になる,拝見する,見ます
見る,見られる,,

見,ご覧になる,拝見する,見ます
見,見られる,,

命じ,おおせつける,,命じます
命じ,お命じになる,,
命じ,命じられる,,

もらう,おもらいになる,いただく,もらいます
もらう,もらわれる,頂戴する,
もらう,,たまわる,
もらう,,拝受する,

もらい,おもらいになる,いただく,もらいます
もらい,もらわれる,頂戴する,
もらい,,たまわる,
もらい,,拝受する,

行く,いらっしゃる,うかがう,まいる
行く,おいでになる,参上する,行きます
行く,お越しになる,あがる,

行き,いらっしゃる,うかがう,まいる
行き,おいでになる,参上する,行きます
行き,お越しになる,あがる,

読む,お読みになる,拝読する,読みます
読む,読まれる,,

読み,お読みになる,拝読する,読みます
読み,読まれる,,



書き,お書きになります,お書きします,お書きいたします
入れ,お入れになります,お入れします,お入れいたします
取り,お取りになります,お取りします,お取りいたします
待ち,お待ちになります,お待ちします,お待ちいたします
参り,いらっしゃる,参る,参る
し,なさる,いたす,いたす
なさる,なさる,いたす,いたす
いたす,なさる,いたす,いたす
